date,close
5/1/2007,278
6/1/2007,384
7/1/2007,432
8/1/2007,430
9/1/2007,416
10/1/2007,398
11/1/2007,341
12/1/2007,328
1/1/2008,436
2/1/2008,345
3/1/2008,304
4/1/2008,404
5/1/2008,313
6/1/2008,443
7/1/2008,530
8/1/2008,468
9/1/2008,356
10/1/2008,485
11/1/2008,419
12/1/2008,317
1/1/2009,454
2/1/2009,367
3/1/2009,313
4/1/2009,294
5/1/2009,339
6/1/2009,357
7/1/2009,543
8/1/2009,464
9/1/2009,569
10/1/2009,286
11/1/2009,293
12/1/2009,262
1/1/2010,258
2/1/2010,171
3/1/2010,236
4/1/2010,269
5/1/2010,306
6/1/2010,341
7/1/2010,793
8/1/2010,480
9/1/2010,414
10/1/2010,422
11/1/2010,316
12/1/2010,277
1/1/2011,298
2/1/2011,255
3/1/2011,309
4/1/2011,294
5/1/2011,283
6/1/2011,374
7/1/2011,715
8/1/2011,599
9/1/2011,503
10/1/2011,590
11/1/2011,403
12/1/2011,484
1/1/2012,528
2/1/2012,357
3/1/2012,489
4/1/2012,462
5/1/2012,472
6/1/2012,695
7/1/2012,880
8/1/2012,827
9/1/2012,695
10/1/2012,620
11/1/2012,719
12/1/2012,613
1/1/2013,356
2/1/2013,264
3/1/2013,372
4/1/2013,387
5/1/2013,487
6/1/2013,581
7/1/2013,902
8/1/2013,842
9/1/2013,717
10/1/2013,720
11/1/2013,719
12/1/2013,690
1/1/2014,643
2/1/2014,481
3/1/2014,442
4/1/2014,573
5/1/2014,121
